danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.725,0.77,1,-6.24,1,0.0539,0.149,2.17e-05,0.0641,0.647,93.009,263413,4,1
0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787,4,1
0.869,0.703,8,-4.862,0,0.0371,0.236,1.03e-06,0.16,0.631,96.995,214133,4,1
0.69,0.761,6,-6.218,1,0.115,0.522,0.00108,0.155,0.583,105.97,207125,4,1
0.62,0.688,7,-7.421,1,0.0367,0.00199,1.24e-05,0.0957,0.211,89.033,204993,4,1
0.692,0.444,11,-8.385,1,0.12,0.711,0.000115,0.131,0.247,133.842,146359,4,1
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,1
0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4,1
0.768,0.673,0,-6.248,1,0.0536,0.0203,4.51e-05,0.258,0.228,121.021,168636,4,1
0.482,0.717,9,-5.86,0,0.189,0.216,0,0.354,0.355,143.097,236355,4,1
0.512,0.317,0,-10.277,1,0.0479,0.795,0,0.0887,0.224,86.483,209360,4,1
0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,241107,4,1
0.495,0.793,6,-5.696,1,0.03,0.000942,8.29e-06,0.0791,0.672,125.998,187920,4,1
0.673,0.48,8,-8.695,1,0.0532,0.662,0,0.426,0.879,141.233,126267,4,1
0.709,0.506,2,-5.628,1,0.0377,0.844,0,0.062,0.682,119.345,131547,4,1
0.722,0.778,7,-5.826,1,0.225,0.0603,0,0.282,0.779,96.008,170933,4,1
0.641,0.934,5,-4.301,1,0.0473,0.116,0,0.874,0.733,105.006,253787,4,1
0.668,0.847,7,-6.302,0,0.112,0.915,0.0001,0.157,0.949,151.95,163760,4,1
0.731,0.796,0,-7.174,1,0.0312,0.0501,0,0.162,0.935,112.537,242040,4,1
0.655,0.254,1,-10.701,1,0.043,0.865,0,0.19,0.788,151.643,180600,4,1
0.839,0.315,7,-10.015,1,0.0497,0.865,0.0244,0.191,0.93,114.133,157533,4,1
0.232,0.557,2,-10.361,1,0.0406,0.838,1.12e-06,0.112,0.631,201.118,151520,3,1
0.577,0.466,9,-7.071,1,0.0418,0.763,0,0.0818,0.532,119.106,178720,4,1
0.647,0.544,1,-5.947,1,0.0446,0.256,0,0.346,0.472,134.922,206373,4,1
0.621,0.69,7,-3.496,1,0.0856,0.557,0,0.377,0.717,140.649,161973,4,1
0.69,0.189,0,-12.797,1,0.0316,0.897,0,0.133,0.735,78.042,171333,4,1
0.463,0.523,1,-11.507,1,0.0381,0.79,0.457,0.164,0.731,79.877,186133,4,1
0.507,0.207,0,-10.215,1,0.0998,0.931,0,0.229,0.774,68.6,158720,4,1
0.602,0.622,11,-6.881,1,0.0839,0.276,0,0.409,0.514,92.934,198853,1,1
0.572,0.895,5,-2.654,1,0.0644,0.0134,0,0.216,0.922,145.008,147987,4,1
0.53,0.706,11,-5.263,1,0.0354,0.0744,0,0.272,0.79,141.948,203029,4,1
0.56,0.93,11,-3.439,1,0.0912,0.113,0,0.276,0.821,180.053,212787,4,1
0.646,0.463,8,-6.529,1,0.0306,0.38,0,0.0457,0.733,147.081,123413,4,1
0.46,0.752,0,-4.624,1,0.101,0.528,0,0.106,0.716,120.64,156932,4,1
0.463,0.285,3,-11.616,1,0.0476,0.838,0,0.241,0.525,204.153,173933,4,1
0.488,0.297,0,-17.101,1,0.0321,0.75,0.535,0.129,0.552,65.04,145640,4,1
0.702,0.588,5,-5.914,1,0.0563,0.634,0,0.198,0.849,122.945,159973,3,1
0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,119787,4,1
0.447,0.744,7,-4.43,1,0.0521,0.0814,0,0.0718,0.474,140.001,267240,4,1
0.754,0.881,0,-9.315,1,0.044,0.147,0.000287,0.0381,0.698,97.98,220400,4,1
0.635,0.331,10,-11.914,1,0.162,0.65,0,0.146,0.498,103.363,174000,4,1
0.71,0.38,5,-11.548,0,0.176,0.769,0,0.271,0.749,122.469,159560,4,1
0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,227653,4,1
0.598,0.389,5,-14.267,1,0.0886,0.945,0.000335,0.13,0.681,126.191,226040,4,1
0.514,0.83,2,-8.666,1,0.0391,0.548,0,0.321,0.964,148.806,182227,4,1
0.862,0.643,8,-5.424,0,0.0695,0.0474,0,0.07,0.952,101.996,135347,4,1
0.745,0.487,1,-8.943,1,0.029,0.459,0,0.271,0.87,107.992,136547,4,1
0.746,0.556,9,-8.311,1,0.113,0.106,0,0.0565,0.898,88.014,162187,4,1
0.605,0.583,6,-5.898,1,0.0316,0.0561,0,0.328,0.801,95.026,139880,4,1
0.521,0.691,4,-5.754,1,0.221,0.138,0,0.0957,0.553,117.056,192573,4,1
0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,229640,4,1
0.658,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.994,182947,4,1
0.506,0.628,7,-7.316,1,0.173,0.0545,0,0.301,0.556,191.708,204093,4,1
0.524,0.612,0,-8.053,1,0.0362,0.202,0,0.0802,0.768,82.226,147800,4,1
0.265,0.436,9,-9.542,0,0.0411,0.45,0,0.102,0.159,69.047,215160,4,1
0.659,0.9,11,-4.624,1,0.168,0.019,3.58e-05,0.315,0.593,78.484,211213,4,1
