@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.651,0.711,3,-5.062,0,0.0378,0.111,0.000061,0.0488,0.425,125.089,191954,4,1
0.598,0.763,7,-4.626,1,0.0264,0.000798,0.000591,0.0881,0.324,152.046,176545,4,1
0.657,0.685,8,-5.735,1,0.0849,0.0931,0.0257,0.0922,0.407,164.555,193138,3,1
0.648,0.427,0,-8.449,1,0.0261,0.422,0.00928,0.13,0.256,103.935,209922,4,1
0.527,0.301,0,-11.05,1,0.0294,0.751,0.115,0.137,0.175,126.9,223506,3,1
0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4,1
0.613,0.722,7,-7.67,0,0.0999,0.187,0.033,0.615,0.62,95.019,187136,4,1
0.293,0.209,1,-16.64,0,0.037,0.599,0.211,0.103,0.0527,109.86,238657,4,1
0.577,0.542,11,-8.211,1,0.0351,0.00517,0.0813,0.142,0.71,102.853,191536,4,1
0.719,0.703,5,-4.93,0,0.0392,0.032,0.000011,0.0656,0.72,101.984,223000,4,1
0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4,1
0.384,0.371,7,-8.23,1,0.0574,0.835,0.000004,0.107,0.265,171.17,139480,5,1
0.689,0.953,4,-5.554,0,0.0482,0.0172,0.335,0.212,0.628,104.009,197879,4,1
0.489,0.0711,1,-13.122,0,0.036,0.927,0.00155,0.109,0.2,141.536,164957,3,1
0.688,0.747,4,-3.04,0,0.0709,0.187,0.000161,0.144,0.62,154.047,212603,4,1
0.621,0.746,6,-5.69,0,0.03,0.000927,0.00108,0.102,0.334,107.953,209264,4,1
0.551,0.836,2,-5.182,1,0.0338,0.0249,0.000013,0.222,0.911,147.954,185413,4,1
